Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Ivan Castillo,KCR,AAA,27,447,0.10067114,0.11856823,0.8490566,0.24234694,0.32207207,0.34693878,0.66901085,0.10459184,4.106597624,0.26409496,-0.889951737,47.11792739,-11.29234686,0.305026836,80.66719083,15971,0.26409496,1.05970149,0.18584071,0.41887906,0.39528024,0.19402985,0.04477612,0.4,0.25217391,0.34782609,0.07758094,607,1030,1637
Kean Wong,LAA,AAA,27,565,0.1079646,0.22123894,0.488,0.26156942,0.34219858,0.33199195,0.67419053,0.07042253,7.091546561,0.34048257,4.360243451,61.81042623,-20.83631199,0.310305344,74.7887062,15994,0.34048257,2.13793103,0.25613079,0.50681199,0.23705722,0.12643678,0.03448276,0.40583554,0.23342175,0.36074271,0.11469534,856,1376,2232
Mark Payton,CHW,AAA,30,539,0.10018553,0.14100186,0.71052632,0.29299363,0.36871508,0.53927813,0.90799321,0.2462845,6.042670977,0.30053191,-0.779710256,96.16901674,25.73694107,0.391198912,136.5415059,16042,0.30053191,1.01315789,0.22727273,0.38888889,0.38383838,0.19736842,0.16447368,0.49876543,0.23209877,0.2691358,0.08446602,768,1292,2060
Pablo Reyes,MIL,AAA,28,432,0.09027778,0.15509259,0.58208955,0.27272727,0.34802784,0.43896104,0.78698888,0.16623377,5.634304155,0.30519481,-1.038898466,62.12956762,5.679369688,0.350359161,110.0608499,16357,0.30519481,1.00892857,0.29022082,0.35646688,0.3533123,0.28571429,0.09821429,0.42056075,0.24299065,0.3364486,0.07639681,682,1072,1754
Domingo Leyba,SDP,"AA,AAA",26,483,0.13457557,0.13871636,0.97014925,0.2549505,0.35610766,0.39851485,0.75462251,0.14356435,4.809933767,0.27380952,1.067552852,64.71158769,-3.756978685,0.341852857,94.67977503,16404,0.27380952,0.86330935,0.23823529,0.35294118,0.40882353,0.29496403,0.07913669,0.58501441,0.16714697,0.24783862,0.06340755,844,1222,2066
Jason Martin,LAD,AAA,26,544,0.125,0.24816176,0.5037037,0.28510638,0.37384899,0.56382979,0.93767878,0.27872341,5.733805596,0.33224756,-1.608127496,101.8067336,22.2318211,0.39427282,127.9382288,16429,0.33224756,1.23275862,0.21987952,0.43072289,0.34939759,0.14655172,0.27586207,0.38529412,0.25294118,0.36176471,0.11466423,879,1310,2189
John Nogowski,WSN,"AA,AAA",29,483,0.14699793,0.13664596,1.07575758,0.24810127,0.36645963,0.36202532,0.72848495,0.11392405,3.935289163,0.27272727,-0.733887032,64.19146534,1.830998155,0.336381189,102.8252199,16852,0.27272727,0.96875,0.23404255,0.3768997,0.38905775,0.265625,0.0625,0.43413174,0.25748503,0.30838323,0.06226913,803,1092,1895
Narciso Crook,CHC,AAA,26,409,0.08801956,0.30317848,0.29032258,0.25966851,0.34474328,0.49171271,0.83645599,0.2320442,6.323357181,0.34246575,-0.89020999,64.31987501,10.87512743,0.366225051,120.3483559,17473,0.34246575,1.42465753,0.24034335,0.44635193,0.31330472,0.19178082,0.26027397,0.51680672,0.23109244,0.25210084,0.18250472,582,1007,1589
Christin Stewart,BOS,AAA,28,409,0.14914425,0.31784841,0.46923077,0.23668639,0.36430318,0.44970414,0.81400732,0.21301775,3.865902523,0.31937173,0.009346095,63.48359138,10.03884379,0.363811798,118.7835929,17714,0.31937173,0.53921569,0.24519231,0.26442308,0.49038462,0.25490196,0.18627451,0.53554502,0.20379147,0.26066351,0.14149354,726,1055,1781
Josh Lester,DET,AAA,27,621,0.0821256,0.22061192,0.37226277,0.2459605,0.31129032,0.47935368,0.790644,0.23339318,4.25646747,0.27135678,-0.886013396,83.63830848,2.491148953,0.339577403,103.0699152,17737,0.27135678,0.92178771,0.18867925,0.38915094,0.42216981,0.19553073,0.16201117,0.47652582,0.22300469,0.30046948,0.14568421,846,1529,2375
Jakson Reetz,KCR,"AA,AAA",26,426,0.08215962,0.25352113,0.32407407,0.26430518,0.35915493,0.57493188,0.93408681,0.3106267,3.495267076,0.2887931,-0.853159067,78.51744122,22.88737747,0.401917187,141.1577239,17837,0.2887931,0.648,0.19844358,0.3151751,0.48638132,0.288,0.24,0.5648855,0.20229008,0.23282443,0.14576074,652,1070,1722
Andrew Stevenson,WSN,AAA,28,604,0.07615894,0.22516556,0.33823529,0.27889908,0.34437086,0.45688073,0.80125159,0.17798165,8.100522469,0.34343434,3.463982905,87.36438153,8.438641823,0.351332359,110.6918755,17932,0.34343434,1.5785124,0.23341523,0.46928747,0.2972973,0.15702479,0.1322314,0.38141809,0.25183374,0.36674817,0.12283044,804,1443,2247
Austin Dean,SFG,AAA,28,438,0.08675799,0.21461187,0.40425532,0.26785714,0.34474886,0.46683673,0.81158559,0.19897959,6.68016014,0.31316726,0.477745318,63.6750797,-0.394427089,0.349162444,99.38437627,18288,0.31316726,0.88983051,0.23630137,0.35958904,0.40410959,0.20338983,0.1440678,0.40468227,0.25752508,0.33779264,0.08318043,596,1039,1635
Daz Cameron,DET,AAA,25,430,0.08604651,0.28604651,0.30081301,0.24020888,0.31162791,0.39164491,0.70327282,0.15143603,6.591593058,0.32156863,1.224324716,48.4474834,-7.741371023,0.313594636,86.22258613,18353,0.32156863,0.85185185,0.22178988,0.35797665,0.42023346,0.18518519,0.09259259,0.36015326,0.24904215,0.3908046,0.11482132,629,1078,1707
Jermaine Palacios,MIN,AAA,25,428,0.07943925,0.23831776,0.33333333,0.28316327,0.3411215,0.46173469,0.80285619,0.17857142,4.379307509,0.35018051,-2.507722594,62.6920924,6.764581481,0.353496737,112.0952665,18371,0.35018051,1.72619048,0.19649123,0.50877193,0.29473684,0.0952381,0.16666667,0.46366782,0.23183391,0.30449827,0.13840623,615,1054,1669
Brendon Davis,LAA,AAA,24,589,0.12393888,0.22920204,0.54074074,0.23459245,0.33955857,0.42345924,0.76301781,0.18886679,4.500298757,0.27840909,-2.257654011,78.88528865,-0.561674405,0.338066654,99.44692335,18587,0.27840909,0.8375,0.19891008,0.36512262,0.4359673,0.2125,0.125,0.44864865,0.25675676,0.29459459,0.1484375,884,1420,2304
Estevan Florial,NYY,AAA,24,461,0.11713666,0.30368764,0.38571429,0.28287841,0.36819172,0.48138958,0.8495813,0.19851117,6.788438732,0.39759036,2.328352148,74.93554445,14.69586564,0.372466996,124.3956574,19151,0.39759036,1.17021277,0.21235521,0.42471042,0.36293436,0.26595745,0.15957447,0.43181818,0.28409091,0.28409091,0.14688664,751,1128,1879
Stone Garrett,ARI,AAA,26,440,0.075,0.23863636,0.31428571,0.27506427,0.33178654,0.56812339,0.89990993,0.29305912,7.109581119,0.30152672,1.577708859,72.18531171,7.823250095,0.369338025,112.1550645,19273,0.30152672,0.78688525,0.24305556,0.33333333,0.42361111,0.13934426,0.2295082,0.32758621,0.27586207,0.39655172,0.14775414,595,1097,1692
Alex De Goti,HOU,AAA,27,577,0.12651646,0.18024263,0.70192308,0.25303644,0.35243056,0.37651822,0.72894878,0.12348178,4.774981639,0.3012987,-0.16307591,73.59063592,-10.81143125,0.329898228,87.19056108,19477,0.3012987,1.2734375,0.25192802,0.41902314,0.32904884,0.1953125,0.0703125,0.4213198,0.20812183,0.37055838,0.09755031,877,1409,2286
Zack Short,DET,AAA,27,559,0.15742397,0.26654741,0.59060403,0.22875817,0.35483871,0.37254902,0.72738773,0.14379085,4.439194874,0.30819672,-1.251956203,72.13120971,-0.914301041,0.332912419,98.74831317,19562,0.30819672,0.79562044,0.19078947,0.35855263,0.45065789,0.19708029,0.08029197,0.55345912,0.21069182,0.23584906,0.10375369,1018,1353,2371
Nate Mondou,OAK,AAA,27,449,0.10244989,0.18485523,0.55421687,0.28311688,0.37416481,0.43116883,0.80533364,0.14805195,3.533470092,0.34,-0.89055261,68.71184712,3.03328878,0.357431315,104.6183851,19563,0.34,1.00900901,0.27124183,0.36601307,0.3627451,0.1981982,0.06306306,0.33876221,0.21824104,0.44299674,0.07270694,723,1065,1788
Otto Lopez,TOR,"A,AAA",23,413,0.10411622,0.15738499,0.66153846,0.28333333,0.3649635,0.39444444,0.75940794,0.11111111,6.637321996,0.33559322,-0.396525722,57.14600639,3.448037992,0.342921281,105.6946665,19608,0.33559322,2.22222222,0.20274914,0.54982818,0.24742268,0.18055556,0.04166667,0.42666667,0.24,0.33333333,0.07717042,588,967,1555
